date,windchill,DTR
180505,18.33224872,13
180506,20.40315984,5.7
180507,22.45582336,11.5
180508,19.65717,11.3
180509,17.83961496,12.6
180510,15.71748528,10.1
180511,17.95630232,9.4
180512,18.96983952,4.3
180513,17.35245968,7.3
180514,21.08175632,12.6
180515,26.16312768,13.9
180516,24.21275208,2.6
180517,23.62309784,4.7
180518,19.57605096,7.1
180519,20.2640576,14.4
180520,19.9522712,11.1
180521,20.70526128,12.4
180522,21.71224344,7.8
180523,17.376758,9.7
180524,19.28012584,12.5
180525,21.67363064,12.4
180526,24.47021168,15.6
180527,22.48447784,7.4
180528,24.64959912,12.9
180529,23.42903568,6.8
180530,21.99634992,8.9
180531,22.73515064,13.4
180601,25.79589648,12.7
180602,25.2532312,12.5
180603,26.3273536,13.9
180604,24.52938096,8.6
180605,25.91763736,11.5
180606,24.821924,9.5
180607,23.9593096,11.6
180608,23.48107816,8.5
180609,26.25856312,11.2
180610,23.99959288,6.6
180611,22.96423152,5.9
180612,23.49423064,10.5
180613,24.505992,8.7
180614,24.76677184,6.3
180615,24.37608792,9.8
180616,25.129078,12.4
180617,25.54564576,8.6
180618,27.2054048,10.9
180619,24.46162688,8.1
180620,24.08900264,9.3
180621,25.34942776,9.3
180622,27.146364,13.8
180623,26.439326,8
180624,27.27349792,12
180625,29.53075368,11.6
180626,23.48467368,6.7
180627,24.0671364,6.4
180628,26.25039992,6.7
180629,27.1089972,7.2
180630,27.40570464,6.3
180701,25.49284168,1.8
180702,26.19455088,4.7
180703,29.91598128,10.1
180704,29.55274744,7.8
180705,27.91874424,5.6
180706,26.01051368,5.6
180707,26.03127928,9.7
180708,25.7592908,10.4
180709,24.06859392,4.1
180710,27.05405656,6.1
180711,29.21924256,5.1
180712,28.9407416,3.1
180713,29.52132376,6.2
180714,30.12315784,7.3
180715,30.57108552,8.7
180716,30.96640136,10
180717,30.36054968,8.2
180718,30.47239408,9.5
180719,30.96585128,10.9
180720,31.736562,10.1
180721,32.7970456,12
180722,33.88258768,12.7
180723,34.06472504,6.5
180724,33.63052016,9.6
180725,32.60772216,6.4
180726,32.3150076,6.4
180727,33.28944664,8.2
180728,31.6800996,7.2
180729,33.29210904,10.3
180730,33.65033336,10.7
180731,34.7251976,10.5
180801,35.91419008,11.8
180802,35.90042328,7.6
180803,35.61139176,7.9
180804,33.77734376,6.9
180805,32.55124,6.7
180806,32.7422972,7
180807,32.700638,9.1
180808,33.5011464,7.7
180809,31.0617088,5.4
180810,32.84722632,11.1
180811,33.182676,9.6
180812,32.7970456,8.1
180813,32.6589788,7.7
180814,33.71939864,9.5
180815,33.65033336,9.7
180816,32.17810472,11.5
180817,29.41806464,12.1
180818,29.08227592,10.6
180819,30.51587056,11.4
180820,31.3993588,8.2
180821,28.466636,7.6
180822,32.70854568,14.2
180823,31.67322832,6.5
180824,25.843224,3.1
180825,26.71780768,6.6
180826,26.03806656,8.7
180827,26.13620744,4.7
180828,26.82677272,3.6
180829,26.87657632,4.7
180830,27.45614136,4.3
180831,27.90641664,7.5
180901,28.0253236,10.1
180902,27.4946276,9.5
180903,26.3731772,4.4
180904,24.78745536,7.8
180905,25.36624,8.9
180906,26.0080188,7.3
180907,22.98132,6.4
180908,23.89813176,11.8
180909,25.14250576,13.3
180910,25.24174776,9.8
180911,24.1203616,9.3
180912,25.41144928,11.4
180913,26.3067348,8
180914,26.1885252,6.5
180915,26.3731772,5
180916,24.40300816,2.9
180917,24.21275208,9.2
180918,24.9633936,8.8
180919,25.3533164,7.7
180920,20.9508168,2.3
180921,22.42308848,4.3
180922,22.80948096,8.3
180923,21.78754736,9.7
180924,18.74632064,7.9
180925,21.45042672,13.5
180926,21.57570032,8.6
180927,21.96388888,11.8
180928,20.93337,7.9
180929,23.7385368,12.4
180930,18.24040832,7.6
181001,13.89828144,6.7
181002,18.33334696,11.7
181003,20.49445016,13
181004,22.33124856,12.6
181005,19.05131832,3.3
181006,18.9429424,5.4
181007,18.54644192,8.8
181008,18.83225952,11.7
181009,19.26862072,9.1
181010,11.05672,8.8
181011,10.04758008,7.8
181012,14.61669528,12.2
181013,17.19443,13.7
181014,16.0221232,13.5
181015,18.25804352,10.1
181016,17.9229324,10.4
181017,15.99429408,10.2
181018,16.99954248,11.5
181019,16.28144456,13.2
181020,17.26157072,14.5
181021,17.61044816,13.9
181022,18.469256,11.8
181023,16.56318128,7.1
181024,16.086134,11.1
181025,18.63902128,14.2
181026,14.68176368,4.8
181027,3.92807656,5.4
181028,11.2981508,8.3
181029,7.7852896,8.3
181030,8.66158584,10.9
181031,9.94457456,9.6
181101,12.32069728,12.7
181102,15.16682544,15
181103,14.89221504,14.1
181104,15.25957472,14.1
181105,16.30136456,11.7
181106,17.31574832,9.5
181107,17.08681472,5.4
181108,13.51616016,4.2
181109,8.90456184,5.9
181110,15.15195944,8.3
181111,12.98501944,5.5
181112,12.51509848,12
181113,13.59592512,11.3
181114,14.46864752,11.8
181115,14.8147548,11.5
181116,10.87232064,10.3
181117,8.56329624,10.8
181118,11.23957464,8.8
181119,10.0692764,8
181120,8.0434268,12.7
181121,10.45530864,5.1
181122,0.09224168,8.4
181123,5.73958344,10.7
181124,4.01632112,3.5
181125,10.6503232,8.5
181126,11.9251492,12
181127,10.1412596,9.4
181128,7.57598,9
181129,7.8205412,6.1
181130,6.49257352,9.5
181201,11.245242,11.6
181202,12.13701744,9
181203,14.7754644,4.2
181204,3.73289256,12.1
181205,3.29632,7.7
181206,0.80930368,7.8
181207,-22.63897816,8.5
181208,-13.99468872,7
181209,-3.6450272,9.7
181210,5.158178,12.7
181211,5.44016816,5.3
181212,-3.42355912,7.4
181213,-2.3504296,8
181214,-2.45641632,8.4
